name,read1,read2,run_num
03Dap18428,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18428/XH-4057-18428_S255_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18428/XH-4057-18428_S255_L008_R2_001.fastq.gz,1
03Dap18429,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18429/XH-4057-18429_S212_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18429/XH-4057-18429_S212_L008_R2_001.fastq.gz,1
03Dap18432,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18432/XH-4057-18432_S214_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18432/XH-4057-18432_S214_L008_R2_001.fastq.gz,1
00Dap18452,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18452/XH-4057-18452_S333_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18452/XH-4057-18452_S333_L008_R2_001.fastq.gz,1
03Dap18472,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18472/XH-4057-18472_S289_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18472/XH-4057-18472_S289_L008_R2_001.fastq.gz,1
03Dap18482,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18482/XH-4057-18482_S159_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18482/XH-4057-18482_S159_L008_R2_001.fastq.gz,1
03Dap18492,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18492/XH-4057-18492_S158_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18492/XH-4057-18492_S158_L008_R2_001.fastq.gz,1
03Dap18512,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18512/XH-4057-18512_S209_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18512/XH-4057-18512_S209_L008_R2_001.fastq.gz,1
01Dap18521,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18521/XH-4057-18521_S164_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18521/XH-4057-18521_S164_L008_R2_001.fastq.gz,1
03Dap18522,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18522/XH-4057-18522_S160_L008_R1_001.fastq.gz,/local/storage/finch_lowpass_2022/XH-4057/20241025_LH00179_0133_A22HH77LT4/Sample_XH-4057-18522/XH-4057-18522_S160_L008_R2_001.fastq.gz,1
